id	motivo	tab1	label
1	m·s alla de la television por cable, no tiene muchas opciones para ver	contenido	1
2	el servicio es caro para lo que ofrece.	precio	4
3	los canales no son buenos	contenido	1
4	elevado costo del servicio	precio	4
5	no funciona muy buen	servicio	7
6	son varios uno es que cuando veo una  serie y se esta dando nuevamente en algun canal no te deja seguir mirando . otra la mayoria de las peliculas se estan dando en el cable y las que no son pagas .otra cosa que me pasa es que cuando el sol refleja en el decodificador el control no funcion tengo que poner algo para tapar el sol para que funcione ademas muchos canalesdan la misma pelicula en el mismo horario.	contenido	1
7	se cuelga en los smart	smart tv	8
8	se traba y no enciende	servicio	7
9	por la atencio, son cordiales y amables.	relacionamiento	6
10	los decos no andan bien	servicio	7
11	la performance	servicio	7
12	no tengo flow pero me molesta	otros	9
13	la aplicaciÛn es mala. muy mala.	producto	5
14	no funciona con la rapidez y calidad que se abona	servicio	7
15	el deco se cuelga y no funciona bien 	servicio	7
16	todos los meses facturan cualquier cosa, no respetan las promociones ofrecidas. el servicio de internet es p„âsimo 	servicio	7
17	es bueno	producto	5
18	no lo uso	no lo uso	0
19	no tiene  opciones de  series nuevas.	contenido	1
20	el aparato que me dieron funciona mal (se prende y apaga sÛlo) y resulta imposible contactarme con alguien para que me solucionen el problema	servicio	7
21	la musica se corta y la repeticion de programas tambien	servicio	7
22	es imposible contactarse con uds cuando hay un problema	relacionamiento	6
23	es caro para la calidad de servicio	precio	4
24	precio	precio	4
25	se interrumpe mucho , se cuelga 	servicio	7
26	muy mal duncionamiento del decodificador, es lento, se tilda y la  guia de canales se desprograma 	servicio	7
27	no tengo tanto tiempo para ver peliculas.	no lo uso	0
28	anda mal. se corta y genera errores a cada rato.	servicio	7
29	sistema lento y cerrado, solo permite ver 24hs anteriores y muchas veces no funciona. si se graba un programa como no se cumplen los horarios te perdes los finales. 	servicio	7
30	se corta el servicio muy seguido, todos los meses tengo que hacer reclamos	servicio	7
31	es lento y la transmision llega mas tarde	servicio	7
32	una vez por semana se interrumpe el servicio. suelen venir a menudo a arreglarlo.	servicio	7
33	no funciona siempre bien	servicio	7
34	poco practico	funcionalidad	3
35	hay microcortes, se pixela, se congela la imagen	servicio	7
36	que flow anda bastante mal, funciona como debe ser solo a veces y otras no, me cansa llamar para quejarme	servicio	7
37	no funciona el control remoto	servicio	7
38	muy util para ver cosas luego de su horario	funcionalidad	3
39	todos los meses un monto distinto a pagar. obviamente siempre mayor al precio acordado. 	precio	4
40	el deco se cuelga, no retrocede ni avanza, tiene delay las imagenes con el audio y ni habla de los subtitulos	servicio	7
41	el costo es muy elevado por el tipo de servicio 	precio	4
42	se tilda y corta con frecuencia 	servicio	7
43	servicio	servicio	7
44	si deseo ver una serie o pelÌcula esta en inglÈs 	contenido	1
45	el deco funciona lento	servicio	7
46	hace meses que tengo un ticket abierto, desde que se actualizo la versiÛn de flow no puedo usar netflix, no se escucha	relacionamiento	6
47	caro y malo	precio	4
48	hace un mes funciona mal, no se puede ver propagaciÛn anterior, 	servicio	7
49	anda mas o menos	servicio	7
50	sirve si tenÈs un tv convencional o un smart viejo sin soporte para las nuevas plataformas. si tenÈs android tv us·s todo desde ahÌ. flow en sÌ... a mi no me aporta ning˙n contenido de interes. el deco que me dieron es pequeÒo y se sobrecalienta todo el tiempo, oblig·ndome a desenchufarlo hasta que se enfrÌe y volverlo a enchufar, de lo contrario deja de aceptar comandos del control remoto y se corta permanentemente la imagen.	contenido	1
51	la facturaciÛn no es certera a la hora del cobro, empecÈ pagando un precio y luego eso cambio sin motivo alguno, por eso el puntaje	precio	4
52	imposible comunicarse	relacionamiento	6
53	deficiencia en el servicio que motiva varios reclamos	servicio	7
54	no esta funcionando bien	servicio	7
55	fallas continuas, mal servicio, muy caro	precio	4
56	si bien ahora no me funciona muy bien la aplicacion. puedo ver la programacion cuando quiera y hay buenas opciones de series y peliculas. el precio no esta muy bueno. ultimamente ha aumentado mucho	contenido	1
57	el tÈcnico fue muy atento, calibro el deco pero recalienta. hace ruido aleatoriamente.  como lo dejo desconectado cuando vino el tecnico no hace ruido.  lo conecto y lo desconecto cada vez que enciendo la tv.  no funciona bien si tengo que tomarme ese trabajo con un decodificador que tiene poco uso	servicio	7
58	mal servicio	servicio	7
59	hace meses que hay un problema en la zona y no lo rrsuelven	servicio	7
60	que no est·n en todas las zonas.	producto	5
61	mala seÒal, problemas en la guia	servicio	7
62	todo lo que nos brindan 	producto	5
63	se traba, no puedo ir par atras varias veces y sobre todo en vivo.	servicio	7
64	continuamente tenemos problemas con el decodificador. llamÈ varias veces pero siempre controlan desde ahÌ y no vienen a resolver el problema.	servicio	7
65	la lentitud al cambiar los canales	servicio	7
66	es anticuado y se cuelga segui y se ve pixelado 	servicio	7
67	el funcionamiento es pÈsimo, se reinicia solo, se queda colgado y no funcionan los canales y hay que reiniciar el equipo	servicio	7
68	nunca funciona bien	servicio	7
69	la propuesta que contiene es pobre, el deco se cuelga a veces y se recalienta tanto que me arruinÛ un mueble	servicio	7
70	el costo, es muy caro el servicio	precio	4
71	muy completo, mucho para ver, muy sencillo	producto	5
72	buen contenido de series y pelÌculas	contenido	1
73	es interesante la idea de poder ver lo que no es en vivo. no siempre funciona bien. la guÌa no me resulta del todo cÛmoda.	servicio	7
74	servicio caro	precio	4
75	todavÌa es difÌcil encontrar series y peliculas,aparte el control remoto complica para cambiar de programaq	contenido	1
76	la programaciÛn  ordenada 	contenido	1
77	se cuelga bastante. lo tengo que reiniciar cada dos o tres dÌas. no siempre graba lo que programo. a veces no me deja ver las grabaciones.	servicio	7
78	la relacion precio/contenido es muy desfavorable. ademas la interfaz de usuario de flow es pesima: lenta y poco intuitiva	contenido	1
79	poco contenido peliculas viejas repetidas antes al pir de pantalla tema pelicula duracio n de la mima cual seria de la siguente ahora nada solo el titulo y si es drama  accion etc	contenido	1
80	donde vivo no funciona bien	servicio	7
81	siempre se corta y nunca te hacen una devoluciÛn 	servicio	7
82	servicio caro y no tan completo	precio	4
83	no funciona muy bien, a veces no puedo retroceder para ver algo de unas horas antes	servicio	7
84	seÒal pesima	servicio	7
85	mala calidad y sonido malÌsimo 	servicio	7
86	de la mayoria de los programas que sigo no puedo ver capÌtulos anteriores, est·n en la grilla pero no habilitados para ver	servicio	7
87	el control es muy malo. lento y a veces no fuinciona. tenes q estar apretando miles de veces la misma tecla para q funcione	servicio	7
88	desde que actualizaron la plataforma, me parece menos practico la busqueda de programas y estoy teniendo inconvenientes a diario cada vez que prendo el aparato	funcionalidad	3
