text	label_etiqueta	label
No funciona el grabado, ni el reinicio y tampoco  el grabado	Servicio	0
Altos costos y poca actualizacion de peliculas	Precio	1
programacion basica y muy repetitiva. Sumado a cortes de conexion frecuentes	Contenido	2
no siempre funciona 	Servicio	0
no encuentro las peliculas que me interesan y siempre termino en otros plataformas	Contenido	2
Cuando quiero ver alguna pelicula nueva tengo que abonarla aparte de todo lo que pago por el sistema de flow. Y veo Netflix en mi cuenta que no esta en flow. De hecho lo estoy por dar de baja	Contenido	2
No siempre se puede ver programas ya emitidos	Servicio	0
Muchas veces no se puede ver un programa desde el inicio.	Servicio	0
Bueno pero caro	Precio	1
Viendo  futbol de La Liga, River, se interrumpe la transmision a cada momento a traves del Celular.  Servicio muy deficiente	Servicio	0
una de las cosas que me atrajo de flow, era que podia volver a tras y ver programas que no habia podido ver por cuestion de horario, y el 90 % de las veces me da error y es imposible ver.	Servicio	0
Repetida programacion	Contenido	2
Hay muchas series que no estan en Flow y por momentos no esta disponible la opcion de ver un programa ya pasado	Servicio	0
Es lenta. No se puede grabar ni ver programas anteriores.	Servicio	0
Es muy caro. Este mes aumento demasiado 	Precio	1
El servicio es muy caro para lo que ofrece, Cablevision es malisimo! estoy a punto de bajarme. Me aumentaron de vuelta y lo unico que hacen en ofrecerme Personal (nunca voy a cambiar a Personal)	Precio	1
es caro, las promos no las cumplen y se desconecta constantemente	Precio	1
funciona muy mal en el smarttv, no me permite grabar, no me permite retroceder y ver programas ya emitidos, lo reporte hasta el cansancio y a cablevision no parece importarle	Servicio	0
no funciona bien	Servicio	0
Soy no vidente y no puedo con el control pasar las peliculas en castellano 	Contenido	2
No se puede utilizar sus prestaciones correctamente 	Servicio	0
en horarios pico o algun evento importante se tilda	Servicio	0
No es mas q los demas prestadores .. muchas peliculas viejas y algunas series subtituladas y no en castellano 	Contenido	2
El servicio es muy caro	Precio	1
Muchos aumentos y muy disconforme con internet	Precio	1
relacion precio/ beneficio	Precio	1
Buena calidad pero precio excesivo del pack	Precio	1
peliculas y series viejas para ver, coontenido malo	Contenido	2
Suele tener problemas de recepcion	Contenido	2
Falta mas contenido 	Contenido	2
El costo 	Precio	1
Lo que ofrecen es nada salvo si se compran los adicionales , no sirve 	Contenido	2
"Muchos canales tienen ""errores temporales"" que no permiten ver la programacion ya emitida."	Servicio	0
Precio alto	Precio	1
No funciona bien y es carisimo	Precio	1
Hay poco contenido interesante y mucho viejo . Los programas como series de tv se guardan poco tiempo	Contenido	2
Fallas tecnicas 	Servicio	0
Precio calidad 	Precio	1
Costo caro y reducida cartelera 	Precio	1
tienen las mismas peliculas que en cv, la mayoria muy viejas	Contenido	2
Caro por la calidad de servicio que ofrece.	Precio	1
Excesivamente oneroso 	Precio	1
Series y peliculas muy viejas. Faltan mas estrenos y series nuevas 	Contenido	2
Funciona mal	Servicio	0
Es muy caro	Precio	1
Caro y mal servicio con demasiados cortes	Precio	1
contenidos versus precio que no para de subir	Precio	1
Falta de programacion 	Contenido	2
Es util para ver peliculas ya empezadas desde elbprincipio, solo que tienen que haber terminado por completo. Y los programas de TV solo los poder ver dentro de los 2 dias de emitido pero no me queda claro cuabto tiempo, o sea son menos las veces que lo podes usar de lo que uno cree o se vende. Saludos	Contenido	2
Nos quedamos sin cable muchos dias, durante mucho tiempo, nos atienden mal por telefono, no hay buenas peliculas en el programa	Contenido	2
